Judge,Mean |ΔR|,Median |ΔR|,Mean L̂,V_g(ρ=0.07),p (perm),95% CI
ArmoRM,0.0000,-0.3404,0.19,0.359,0.0016,"[-0.1499, 0.1591]"
Skywork-Reward,-0.0000,-0.2368,76.90,0.375,0.3151,"[-0.1450, 0.1487]"
Claude Sonnet (rubric),-0.0000,-0.4441,2.37,0.353,0.5393,"[-0.1539, 0.1594]"
PairRM (pairwise bias),0.3474,0.3975,—,0.891 (W),—,—
