Judge,Δ mean gap,95% CI,ΔV_g,95% CI (viol),Δ mean bias,ΔW
ArmoRM,0.0013,"[-0.0001, 0.0028]",0.078,"[0.008, 0.150]",—,—
Skywork-Reward,4.6594,"[3.9099, 5.3940]",0.438,"[0.333, 0.535]",—,—
Claude Sonnet,0.1019,"[0.0675, 0.1374]",0.243,"[0.071, 0.401]",—,—
PairRM,—,"[0.2206, 0.2660]",—,"[0.315, 0.591]",0.2436,0.453
