judge_a,judge_b,mode,n_pairs,spearman_rho,spearman_p,kendall_tau,kendall_p,sign_agree
armo,skywork,b,510,0.09064696308670936,0.04072805194483538,0.06102517683990283,0.039403674684335345,0.9980392156862745
armo,api-sonnet,b,454,0.06421167390122798,0.17199739072540937,0.04570439576090265,0.1690241276064791,0.8700440528634361
skywork,api-sonnet,b,454,0.3118182692667053,1.0767610418579708e-11,0.22662746700720318,9.155177392688187e-12,0.8678414096916299
armo,skywork,a,510,0.03997075030767701,0.3676884247619334,0.026550996100471604,0.3705134141194617,1.0
armo,api-sonnet,a,330,-0.06836805572632501,0.21545491584786727,-0.052006995794018934,0.19901653396124286,0.6848484848484848
skywork,api-sonnet,a,330,0.28198540320089444,1.8968611515435078e-07,0.20969523532916945,2.2107886899925476e-07,0.6848484848484848
