model,first_concern_at
claude-haiku-4-5-20251001,1
claude-opus-4-6,1
claude-sonnet-4-6,10
command-r_35b,1
deepseek-r1_8b,10
falcon3_10b,1
huihui_ai_deepseek-r1-abliterated_32b,10
llama3_8b,1
mercury,1
mistral_7b,1
phi3_14b,1
qwen2.5_14b,10
qwen3_30b,10
superdrew100_llama3-abliterated_latest,1
yi_9b,1
gpt-oss_20b,-1
huihui_ai_gpt-oss-abliterated_latest,-1
qwen3.5_35b,-1
