model,node_n,gen_words,gen_finish
mistral_7b,2,70,stop
mistral_7b,3,65,stop
mistral_7b,4,43,stop
mistral_7b,5,40,stop
mistral_7b,6,37,stop
mistral_7b,7,41,stop
mistral_7b,8,65,stop
mistral_7b,9,45,stop
phi3_14b,1,55,stop
phi3_14b,10,27,stop
phi3_14b,11,33,stop
phi3_14b,12,31,stop
phi3_14b,13,41,stop
phi3_14b,14,37,stop
phi3_14b,2,29,stop
phi3_14b,3,35,stop
phi3_14b,4,51,stop
phi3_14b,5,23,stop
phi3_14b,6,46,stop
phi3_14b,7,52,stop
phi3_14b,8,53,stop
phi3_14b,9,31,stop
qwen2.5_14b,1,33,stop
qwen2.5_14b,10,34,stop
qwen2.5_14b,11,31,stop
qwen2.5_14b,12,35,stop
qwen2.5_14b,13,28,stop
qwen2.5_14b,14,29,stop
qwen2.5_14b,2,37,stop
qwen2.5_14b,3,34,stop
qwen2.5_14b,4,33,stop
qwen2.5_14b,5,36,stop
qwen2.5_14b,6,30,stop
qwen2.5_14b,7,37,stop
qwen2.5_14b,8,44,stop
qwen2.5_14b,9,36,stop
qwen3.5_35b,1,0,length
qwen3.5_35b,10,0,length
qwen3.5_35b,11,0,length
qwen3.5_35b,12,0,length
qwen3.5_35b,13,0,length
qwen3.5_35b,14,0,length
qwen3.5_35b,2,0,length
qwen3.5_35b,3,0,length
qwen3.5_35b,4,0,length
qwen3.5_35b,5,0,length
qwen3.5_35b,6,0,length
qwen3.5_35b,7,0,length
qwen3.5_35b,8,0,length
qwen3.5_35b,9,0,length
qwen3_30b,1,0,length
qwen3_30b,10,47,stop
qwen3_30b,11,40,stop
qwen3_30b,12,39,length
qwen3_30b,13,0,length
qwen3_30b,14,49,stop
qwen3_30b,2,0,length
qwen3_30b,3,36,length
qwen3_30b,4,0,length
qwen3_30b,5,0,length
qwen3_30b,6,47,stop
qwen3_30b,7,0,length
qwen3_30b,8,47,stop
qwen3_30b,9,0,length
superdrew100_llama3-abliterated_latest,1,47,stop
superdrew100_llama3-abliterated_latest,10,225,length
superdrew100_llama3-abliterated_latest,11,76,stop
superdrew100_llama3-abliterated_latest,12,48,stop
superdrew100_llama3-abliterated_latest,13,49,stop
superdrew100_llama3-abliterated_latest,14,64,stop
superdrew100_llama3-abliterated_latest,2,55,stop
