model,n_pairs,I_hat_nats,ci_lo,ci_hi,flip_rate,asymmetry,p_asymmetry,active
qwen3.5:0.8b,,,,,,0.0,1.0,
qwen3.5:2b,,,,,,1.0,0.5,
qwen3.5:4b,50,-0.05886700775177017,-0.11317305725822259,-0.01144500555423625,,-0.5,0.625,False
qwen3.5:9b,50,-0.027660516253752626,-0.09822044870051734,0.00021161458800187893,,0.6,0.375,False
