content_id,category,format_i,format_j,d_repr,cosine_sim
bs001,bodily_state,direct,clinical,0.0283815860748291,0.9716184139251709
bs001,bodily_state,direct,data,0.076022207736969,0.923977792263031
bs001,bodily_state,direct,fiction,0.08474308252334595,0.915256917476654
bs001,bodily_state,direct,code,0.08052921295166016,0.9194707870483398
bs001,bodily_state,clinical,data,0.07218855619430542,0.9278114438056946
bs001,bodily_state,clinical,fiction,0.10052216053009033,0.8994778394699097
bs001,bodily_state,clinical,code,0.0651313066482544,0.9348686933517456
bs001,bodily_state,data,fiction,0.15623259544372559,0.8437674045562744
bs001,bodily_state,data,code,0.05945408344268799,0.940545916557312
bs001,bodily_state,fiction,code,0.1891382336616516,0.8108617663383484
bs002,bodily_state,direct,clinical,0.017678558826446533,0.9823214411735535
bs002,bodily_state,direct,data,0.07601028680801392,0.9239897131919861
bs002,bodily_state,direct,fiction,0.0835527777671814,0.9164472222328186
bs002,bodily_state,direct,code,0.06037569046020508,0.9396243095397949
bs002,bodily_state,clinical,data,0.0763016939163208,0.9236983060836792
bs002,bodily_state,clinical,fiction,0.09137833118438721,0.9086216688156128
bs002,bodily_state,clinical,code,0.05093538761138916,0.9490646123886108
bs002,bodily_state,data,fiction,0.15401911735534668,0.8459808826446533
bs002,bodily_state,data,code,0.03875291347503662,0.9612470865249634
bs002,bodily_state,fiction,code,0.15460002422332764,0.8453999757766724
bs003,bodily_state,direct,clinical,0.048869311809539795,0.9511306881904602
bs003,bodily_state,direct,data,0.07782936096191406,0.9221706390380859
bs003,bodily_state,direct,fiction,0.13094043731689453,0.8690595626831055
bs003,bodily_state,direct,code,0.07574522495269775,0.9242547750473022
bs003,bodily_state,clinical,data,0.0912359356880188,0.9087640643119812
bs003,bodily_state,clinical,fiction,0.10196536779403687,0.8980346322059631
bs003,bodily_state,clinical,code,0.10833936929702759,0.8916606307029724
bs003,bodily_state,data,fiction,0.16633808612823486,0.8336619138717651
bs003,bodily_state,data,code,0.06620121002197266,0.9337987899780273
bs003,bodily_state,fiction,code,0.2292311191558838,0.7707688808441162
bs004,bodily_state,direct,clinical,0.05723470449447632,0.9427652955055237
bs004,bodily_state,direct,data,0.11109036207199097,0.888909637928009
bs004,bodily_state,direct,fiction,0.1072920560836792,0.8927079439163208
bs004,bodily_state,direct,code,0.08616757392883301,0.913832426071167
bs004,bodily_state,clinical,data,0.09191852807998657,0.9080814719200134
bs004,bodily_state,clinical,fiction,0.103756844997406,0.896243155002594
bs004,bodily_state,clinical,code,0.08217495679855347,0.9178250432014465
bs004,bodily_state,data,fiction,0.15727394819259644,0.8427260518074036
bs004,bodily_state,data,code,0.07829314470291138,0.9217068552970886
bs004,bodily_state,fiction,code,0.19417834281921387,0.8058216571807861
bs005,bodily_state,direct,clinical,0.04614222049713135,0.9538577795028687
bs005,bodily_state,direct,data,0.14249736070632935,0.8575026392936707
