Judge,Mean |ΔR|,Median |ΔR|,Mean L̂,V_g(ρ=0.07),p (perm),95% CI (gap)
ArmoRM,0.0154,0.0125,0.17,"0.445 [0.34, 0.53]",0.0040,"[0.0137, 0.0173]"
Skywork-Reward,2.0748,1.5459,21.71,"0.031 [0.01, 0.07]",0.6519,"[1.8183, 2.3354]"
Claude Sonnet (rubric),0.1036,0.0625,1.19,"0.240 [0.13, 0.36]",0.9564,"[0.0821, 0.1261]"
PairRM (pairwise bias),0.1038,0.0868,—,"0.438 [0.31, 0.57] (W)",0.9617,"[0.0870, 0.1225]"
