Judge,Mean |ΔR|,Median |ΔR|,Mean L̂,V_g(ρ=0.07),p (perm),95% CI
ArmoRM,0.0167,0.0115,0.19,0.523,0.0025,"[0.0145, 0.0192]"
Skywork-Reward,6.7343,5.4358,76.90,0.992,—,—
Claude Sonnet (rubric),0.2055,0.1250,2.37,0.853,0.5316,"[0.1767, 0.2348]"
PairRM (pairwise bias),0.3474,0.3975,—,0.891 (W),—,—
