judge,mode,content_id,category,format_i,format_j,d_repr,delta_g,local_slope,full_cfsg,delta_g_norm
armo,b,bs001,bodily_state,clinical,direct,0.0283815860748291,0.011639404296874989,0.4100896326426475,0.011309059541963496,-0.3341764167737885
armo,b,bs001,bodily_state,clinical,data,0.07218855619430542,0.012518310546874994,0.17340888636551122,0.011614631782504143,-0.27664461488934217
armo,b,bs001,bodily_state,clinical,code,0.0651313066482544,0.019885253906249983,0.3053055377516394,0.018590101336303618,0.2055837522948679
armo,b,bs001,bodily_state,clinical,fiction,0.10052216053009033,0.02640991210937499,0.26272464942513934,0.02375513068473082,0.6326774760064849
armo,b,bs001,bodily_state,direct,data,0.076022207736969,0.0008789062500000056,0.011561025588934811,0.0008120898564811847,-1.038541463456276
armo,b,bs001,bodily_state,direct,code,0.08052921295166016,0.008245849609374994,0.10239448409660518,0.007581817830214272,-0.5563130962720658
armo,b,bs001,bodily_state,direct,fiction,0.08474308252334595,0.0147705078125,0.17429544780818068,0.013518809450033586,-0.12921937256044885
armo,b,bs001,bodily_state,data,code,0.05945408344268799,0.007366943359374989,0.12390771205419952,0.0069289484941691525,-0.6138448981565122
armo,b,bs001,bodily_state,data,fiction,0.15623259544372559,0.013891601562499994,0.08891558517261204,0.011721280595520507,-0.18675117444489522
armo,b,bs001,bodily_state,code,fiction,0.1891382336616516,0.0065246582031250056,0.034496587919970484,0.005290595875339936,-0.6689795416291052
armo,b,bs002,bodily_state,clinical,direct,0.017678558826446533,0.0007751464843749889,0.043844221000326165,0.0007614430116518524,-1.0453334122898574
armo,b,bs002,bodily_state,clinical,data,0.0763016939163208,0.011730957031249989,0.15374237040850783,0.01083586513850604,-0.32818352074415874
armo,b,bs002,bodily_state,clinical,code,0.05093538761138916,0.024261474609374986,0.4763092898238866,0.023025706996122594,0.4920441825111722
armo,b,bs002,bodily_state,clinical,fiction,0.09137833118438721,0.009387207031249983,0.10272790257468915,0.008529419718252013,-0.4816016591026818
armo,b,bs002,bodily_state,direct,data,0.07601028680801392,0.010955810546875,0.14413399650168693,0.010123056244992767,-0.3789233737950236
armo,b,bs002,bodily_state,direct,code,0.06037569046020508,0.023486328124999997,0.3889966135272036,0.022068324848078188,0.44130432946030734
armo,b,bs002,bodily_state,direct,fiction,0.0835527777671814,0.008612060546874994,0.10307206660208816,0.007892498965884438,-0.5323415121535467
armo,b,bs002,bodily_state,data,code,0.03875291347503662,0.012530517578124997,0.3233355409692119,0.012044923514622493,-0.27584556208539135
armo,b,bs002,bodily_state,data,fiction,0.15401911735534668,0.0023437500000000056,0.0152171679923645,0.001982767693698411,-0.9426551269821992
armo,b,bs002,bodily_state,code,fiction,0.15460002422332764,0.014874267578125003,0.09621066647423047,0.012574705450242621,-0.12242742372686823
armo,b,bs003,bodily_state,clinical,direct,0.048869311809539795,0.008410644531250011,0.17210130690445483,0.007999622121133153,-0.5455258834187312
armo,b,bs003,bodily_state,clinical,data,0.0912359356880188,0.011602783203125008,0.12717199581099786,0.010544192421002671,-0.3365735751856392
armo,b,bs003,bodily_state,clinical,code,0.10833936929702759,0.016082763671875014,0.14844663883120304,0.014340367199110927,-0.04332119613575423
armo,b,bs003,bodily_state,clinical,fiction,0.10196536779403687,0.017651367187500017,0.17310969851504598,0.015851539040158985,0.0593570891719031
armo,b,bs003,bodily_state,direct,data,0.07782936096191406,0.0031921386718749972,0.041014054572316015,0.002943696558941153,-0.8871209571076303
armo,b,bs003,bodily_state,direct,code,0.07574522495269775,0.007672119140625003,0.10128714857296336,0.007090992750454464,-0.5938685780577454
armo,b,bs003,bodily_state,direct,fiction,0.13094043731689453,0.009240722656250006,0.07057141608951725,0.008030738390516495,-0.491190292750088
armo,b,bs003,bodily_state,data,code,0.06620121002197266,0.0044799804687500056,0.06767116184283108,0.004183400340843951,-0.8028208862908374
armo,b,bs003,bodily_state,data,fiction,0.16633808612823486,0.006048583984375008,0.03636297472328306,0.005042474100628176,-0.70014260098318
armo,b,bs003,bodily_state,code,fiction,0.2292311191558838,0.0015686035156250028,0.0068428609454956515,0.0012090307762264295,-0.9933949800330649
armo,b,bs004,bodily_state,clinical,direct,0.05723470449447632,0.02424926757812501,0.42367378531114697,0.022861367914083542,0.4912451297072232
armo,b,bs004,bodily_state,clinical,data,0.09191852807998657,0.03743286132812501,0.4072351339266197,0.03399208781302151,1.3542221579739135
armo,b,bs004,bodily_state,clinical,code,0.08217495679855347,0.04184570312500001,0.5092207593953638,0.03840703427849804,1.6430797466020695
armo,b,bs004,bodily_state,clinical,fiction,0.103756844997406,0.032189941406250006,0.31024103678189124,0.02885001464528614,1.0110289786771136
armo,b,bs004,bodily_state,direct,data,0.11109036207199097,0.01318359375,0.11867343692713556,0.011719023546902463,-0.23309623707403196
