Judge,Mean |ΔR|,Median |ΔR|,Mean L̂,V_g(ρ=0.07),p (perm),95% CI
ArmoRM,-0.0000,-0.2360,0.17,0.375,0.0035,"[-0.1461, 0.1417]"
Skywork-Reward,-0.0000,-0.2801,21.71,0.289,0.6521,"[-0.1350, 0.1422]"
Claude Sonnet (rubric),0.0000,-0.3528,1.19,0.323,0.9469,"[-0.1875, 0.1928]"
PairRM (pairwise bias),0.1038,0.0868,—,0.438 (W),—,—
